N1,N2,T_split,MigRate,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,9892,0,0.21001721271429818,0.1010642399999984,0.4129,0.1354,0.10108751020407919,0.030875918367347186,0.3540666461449412,0.07835561364976854
150000,5000,6984,0,0.1211670254265893,0.09708103999999822,0.3904,0.1424,0.09637338775509979,0.055821632653061615,0.3874516259990989,2.766013910863744
150000,5000,8532,0,0.1392224701080087,0.10069143999999901,0.3992,0.1472,0.09849608163265065,0.053665469387756105,0.3854168070266942,2.3165684556105077
150000,5000,12250,0,0.17555477326873903,0.09611383999999852,0.3802,0.0961,0.0953089795918345,0.039504979591836895,0.4501961409040391,3.0753512310045457
150000,5000,5988,0,0.22181335088822784,0.10722007999999776,0.4174,0.1453,0.10238114285713998,0.03419820408163361,0.36161773039079265,0.19848496042227273
150000,5000,5640,0,0.10704584305072284,0.1013782399999987,0.4318,0.2081,0.10114040816326221,0.06240497959183652,0.1801780504950024,1.2568703112635338
150000,5000,8049,0,0.09928554270287226,0.10196231999999897,0.3949,0.1625,0.09919110204081348,0.06789730612244835,0.45840352139991286,3.1901808112258943
150000,5000,11585,0,0.1955691074760657,0.09903967999999921,0.3865,0.0927,0.09683893877550767,0.036437469387755515,0.44810725267451373,2.780075735706639
150000,5000,8678,0,0.12968181413773638,0.10259471999999864,0.3887,0.1559,0.09912971428571213,0.05895028571428612,0.5215694430062645,2.539051716282398
150000,5000,7205,0,0.07320046551974946,0.10360175999999852,0.4238,0.1959,0.10130155102040526,0.0776362448979591,0.2589991119246808,2.8382380086236063
150000,5000,9916,0,0.2750120488970539,0.09771703999999923,0.3579,0.0505,0.09262873469387539,0.018497551020408214,0.5836225726311968,2.3349113727816433
150000,5000,10148,0,0.19733100487498445,0.10175631999999854,0.3928,0.1054,0.09723575510203869,0.03919542857142908,0.3987326959256389,2.4340922246671175
150000,5000,7199,0,0.1065481413804048,0.09579143999999865,0.3922,0.1873,0.09396563265305909,0.06072269387755165,0.2680852405907239,1.6555063218255894
150000,5000,4730,0,0.08928388469571735,0.09370575999999818,0.4082,0.1415,0.09487453061224195,0.061814367346939056,0.15049053343624777,3.5010150324199465
150000,5000,5769,0,0.11244159421557509,0.1020731999999987,0.4042,0.1917,0.09830448979591576,0.06457314285714276,0.327539295414917,1.8629494046613913
150000,5000,5322,0,0.07291631939401322,0.09505095999999841,0.3927,0.203,0.09355379591836493,0.07070914285714283,0.24586372779930066,2.051355393565259
150000,5000,4505,0,0.07413333352620444,0.09698679999999871,0.4098,0.2013,0.09608138775509956,0.07111730612244936,0.18393752127504684,2.132832644875456
150000,5000,8834,0,0.20084182480501112,0.10695695999999855,0.3995,0.1565,0.10304702040816066,0.039312326530611265,0.569366797601627,0.45810834004086254
150000,5000,7487,0,0.15439249117319265,0.09772519999999832,0.4186,0.1603,0.09876114285713998,0.044408816326529224,0.20811723048753128,0.881759312317091
150000,5000,9131,0,0.22236204240852342,0.1078814399999979,0.4226,0.0828,0.10575999999999744,0.03150326530612232,0.4433255335096307,2.572825597703783
150000,5000,3359,0,0.07311060787681667,0.10046527999999842,0.4276,0.2142,0.0998610612244866,0.07369085714285714,0.16882923396100316,1.9811116910187199
150000,5000,5144,0,0.11148629074906102,0.10162023999999817,0.4202,0.1372,0.1015284081632627,0.060940489795918526,0.30147655079089203,3.620770912780508
150000,5000,10471,0,0.10202160057029652,0.09823575999999912,0.3702,0.1481,0.0949177142857124,0.06517640816326523,0.5439841940099742,3.5543680330093643
150000,5000,7655,0,0.23772099766948174,0.1056298399999982,0.4056,0.1079,0.10116057142856895,0.028948571428572177,0.4293487249941155,0.7376675375741101
150000,5000,11039,0,0.2947806316718299,0.09851719999999896,0.3846,0.1072,0.09533926530612001,0.011978122448979552,0.4044182830678886,-1.8265343129648814
150000,5000,8492,0,0.1294231126591342,0.1078375999999975,0.4397,0.1384,0.10578489795918063,0.06046089795918381,0.284496330724164,3.5009279725721565
150000,5000,10135,0,0.13492958791705068,0.10152231999999854,0.3876,0.1577,0.09742171428571215,0.05734375510204096,0.4611164856016805,2.301336594945753
